"Date,""Open"",""High"",""Low"",""Close"",""Result ‌CCI‌ (20)"""
"Thu Jan 14 2021 13:30:00 GMT+0530 (India Standard Time),""14575.40"",""14595.80"",""14566.65"",""14583.50"",""75.54"""
"Thu Jan 14 2021 13:45:00 GMT+0530 (India Standard Time),""14584.05"",""14617.25"",""14583.65"",""14602.70"",""118.92"""
"Thu Jan 14 2021 14:00:00 GMT+0530 (India Standard Time),""14602.20"",""14607.40"",""14582.90"",""14592.00"",""90.94"""
"Thu Jan 14 2021 14:15:00 GMT+0530 (India Standard Time),""14591.55"",""14608.05"",""14591.55"",""14594.65"",""94.52"""
"Thu Jan 14 2021 14:30:00 GMT+0530 (India Standard Time),""14594.20"",""14611.00"",""14580.30"",""14580.45"",""73.19"""
"Thu Jan 14 2021 14:45:00 GMT+0530 (India Standard Time),""14578.85"",""14597.60"",""14578.85"",""14580.95"",""56.03"""
"Thu Jan 14 2021 15:00:00 GMT+0530 (India Standard Time),""14579.40"",""14608.90"",""14578.05"",""14587.60"",""75.81"""
"Thu Jan 14 2021 15:15:00 GMT+0530 (India Standard Time),""14587.75"",""14604.30"",""14584.90"",""14597.50"",""91.03"""
"Fri Jan 15 2021 09:15:00 GMT+0530 (India Standard Time),""14594.35"",""14616.15"",""14568.90"",""14569.20"",""27.55"""
"Fri Jan 15 2021 09:30:00 GMT+0530 (India Standard Time),""14569.90"",""14569.90"",""14508.55"",""14509.70"",""-291.54"""
"Fri Jan 15 2021 09:45:00 GMT+0530 (India Standard Time),""14508.65"",""14548.25"",""14475.25"",""14541.00"",""-273.45"""
"Fri Jan 15 2021 10:00:00 GMT+0530 (India Standard Time),""14540.40"",""14551.00"",""14516.90"",""14535.95"",""-171.88"""
"Fri Jan 15 2021 10:15:00 GMT+0530 (India Standard Time),""14536.35"",""14545.75"",""14523.45"",""14528.25"",""-144.94"""
"Fri Jan 15 2021 10:30:00 GMT+0530 (India Standard Time),""14528.05"",""14528.95"",""14495.90"",""14518.15"",""-167.28"""
"Fri Jan 15 2021 10:45:00 GMT+0530 (India Standard Time),""14516.95"",""14529.05"",""14497.95"",""14510.15"",""-140.68"""
"Fri Jan 15 2021 11:00:00 GMT+0530 (India Standard Time),""14510.10"",""14510.10"",""14463.10"",""14483.35"",""-165.73"""
"Fri Jan 15 2021 11:15:00 GMT+0530 (India Standard Time),""14482.80"",""14492.10"",""14446.20"",""14448.85"",""-173.26"""
"Fri Jan 15 2021 11:30:00 GMT+0530 (India Standard Time),""14448.10"",""14500.65"",""14446.20"",""14500.30"",""-117.59"""
"Fri Jan 15 2021 11:45:00 GMT+0530 (India Standard Time),""14502.60"",""14510.00"",""14488.00"",""14501.70"",""-78.94"""
"Fri Jan 15 2021 12:00:00 GMT+0530 (India Standard Time),""14501.55"",""14503.15"",""14480.00"",""14501.25"",""-78.85"""
"Fri Jan 15 2021 12:15:00 GMT+0530 (India Standard Time),""14499.75"",""14523.65"",""14488.50"",""14519.75"",""-49.19"""
"Fri Jan 15 2021 12:30:00 GMT+0530 (India Standard Time),""14519.50"",""14537.55"",""14514.25"",""14536.95"",""-14.00"""
"Fri Jan 15 2021 12:45:00 GMT+0530 (India Standard Time),""14538.10"",""14541.05"",""14523.60"",""14527.90"",""-6.86"""
"Fri Jan 15 2021 13:00:00 GMT+0530 (India Standard Time),""14527.95"",""14540.10"",""14510.20"",""14520.20"",""-15.77"""
"Fri Jan 15 2021 13:15:00 GMT+0530 (India Standard Time),""14520.55"",""14525.00"",""14502.80"",""14517.85"",""-28.44"""
"Fri Jan 15 2021 13:30:00 GMT+0530 (India Standard Time),""14518.00"",""14538.20"",""14506.25"",""14525.50"",""-1.16"""
"Fri Jan 15 2021 13:45:00 GMT+0530 (India Standard Time),""14525.35"",""14526.80"",""14439.45"",""14468.65"",""-117.92"""
"Fri Jan 15 2021 14:00:00 GMT+0530 (India Standard Time),""14469.20"",""14469.20"",""14398.30"",""14406.20"",""-237.18"""
"Fri Jan 15 2021 14:15:00 GMT+0530 (India Standard Time),""14406.85"",""14446.50"",""14358.80"",""14433.05"",""-220.29"""
"Fri Jan 15 2021 14:30:00 GMT+0530 (India Standard Time),""14432.85"",""14459.50"",""14422.80"",""14442.95"",""-126.03"""
"Fri Jan 15 2021 14:45:00 GMT+0530 (India Standard Time),""14443.60"",""14455.50"",""14432.00"",""14441.80"",""-106.43"""
