"Date,""Open"",""High"",""Low"",""Close"",""Result ‌CCI‌ (20)"""
"Mon Jan 11 2021 12:15:00 GMT+0530 (India Standard Time),""15557.10"",""15569.60"",""15528.65"",""15541.70"",""45.97"""
"Mon Jan 11 2021 12:30:00 GMT+0530 (India Standard Time),""15541.80"",""15562.40"",""15530.40"",""15560.10"",""49.22"""
"Mon Jan 11 2021 12:45:00 GMT+0530 (India Standard Time),""15559.60"",""15560.70"",""15531.90"",""15545.20"",""29.68"""
"Mon Jan 11 2021 13:00:00 GMT+0530 (India Standard Time),""15544.30"",""15545.05"",""15515.15"",""15543.95"",""-7.40"""
"Mon Jan 11 2021 13:15:00 GMT+0530 (India Standard Time),""15542.25"",""15565.90"",""15534.90"",""15548.50"",""29.40"""
"Mon Jan 11 2021 13:30:00 GMT+0530 (India Standard Time),""15547.90"",""15571.10"",""15544.50"",""15561.35"",""51.01"""
"Mon Jan 11 2021 13:45:00 GMT+0530 (India Standard Time),""15561.95"",""15581.95"",""15538.55"",""15555.95"",""44.93"""
"Mon Jan 11 2021 14:00:00 GMT+0530 (India Standard Time),""15556.60"",""15562.35"",""15522.90"",""15551.70"",""-1.89"""
"Mon Jan 11 2021 14:15:00 GMT+0530 (India Standard Time),""15552.25"",""15565.50"",""15537.20"",""15562.50"",""32.89"""
"Mon Jan 11 2021 14:30:00 GMT+0530 (India Standard Time),""15565.25"",""15605.20"",""15562.85"",""15587.75"",""138.98"""
"Mon Jan 11 2021 14:45:00 GMT+0530 (India Standard Time),""15587.95"",""15601.90"",""15572.55"",""15588.70"",""157.58"""
"Mon Jan 11 2021 15:00:00 GMT+0530 (India Standard Time),""15589.25"",""15608.15"",""15586.80"",""15604.60"",""195.25"""
"Mon Jan 11 2021 15:15:00 GMT+0530 (India Standard Time),""15605.45"",""15623.65"",""15604.20"",""15607.40"",""194.38"""
"Tue Jan 12 2021 09:15:00 GMT+0530 (India Standard Time),""15554.55"",""15559.75"",""15512.75"",""15553.60"",""-25.31"""
"Tue Jan 12 2021 09:30:00 GMT+0530 (India Standard Time),""15552.50"",""15589.50"",""15545.95"",""15582.65"",""64.20"""
"Tue Jan 12 2021 09:45:00 GMT+0530 (India Standard Time),""15581.80"",""15590.40"",""15549.70"",""15553.60"",""32.83"""
"Tue Jan 12 2021 10:00:00 GMT+0530 (India Standard Time),""15554.50"",""15579.20"",""15547.10"",""15551.80"",""9.49"""
"Tue Jan 12 2021 10:15:00 GMT+0530 (India Standard Time),""15550.75"",""15568.35"",""15544.45"",""15557.75"",""-8.15"""
"Tue Jan 12 2021 10:30:00 GMT+0530 (India Standard Time),""15557.50"",""15565.75"",""15552.05"",""15565.00"",""-2.75"""
"Tue Jan 12 2021 10:45:00 GMT+0530 (India Standard Time),""15565.35"",""15565.90"",""15529.25"",""15534.10"",""-80.58"""
"Tue Jan 12 2021 11:00:00 GMT+0530 (India Standard Time),""15533.30"",""15562.15"",""15530.20"",""15559.80"",""-48.52"""
